Year,Genre,Global_Sales
1999,Misc,20.65
1999,Platform,20.82
1999,Puzzle,1.3599999999999999
1999,Racing,37.27
1999,Role-Playing,49.09
1999,Shooter,12.25
1999,Simulation,11.44
1999,Sports,30.29
1999,Strategy,18.46
2000,Action,34.04
2000,Adventure,2.98
2000,Fighting,20.22
2000,Misc,15.540000000000001
2000,Platform,16.06
2000,Puzzle,3.82
2000,Racing,19.99
2000,Role-Playing,29.03
2000,Shooter,6.81
2000,Simulation,3.38
2000,Sports,41.19
2000,Strategy,8.5
2001,Action,59.39
2001,Adventure,9.12
2001,Fighting,18.12
2001,Misc,16.4
2001,Platform,39.28
2001,Puzzle,8.0
2001,Racing,55.81
2001,Role-Playing,22.060000000000002
2001,Shooter,24.77
2001,Simulation,19.54
2001,Sports,51.43
2001,Strategy,7.55
2002,Action,86.77
2002,Adventure,11.05
2002,Fighting,25.02
2002,Misc,15.67
2002,Platform,45.97
2002,Puzzle,5.34
2002,Racing,30.2
2002,Role-Playing,45.13
2002,Shooter,48.58
2002,Simulation,10.809999999999999
2002,Sports,65.42
2002,Strategy,5.56
2003,Action,67.92999999999999
2003,Adventure,2.14
2003,Fighting,23.73
2003,Misc,23.82
2003,Platform,42.89
2003,Puzzle,2.42
2003,Racing,52.19
2003,Role-Playing,30.28
2003,Shooter,27.14
2003,Simulation,21.21
2003,Sports,56.11
2003,Strategy,7.99
2004,Action,76.26
2004,Adventure,8.7
2004,Fighting,16.78
2004,Misc,31.32
2004,Platform,47.34
2004,Puzzle,8.43
2004,Racing,47.86
2004,Role-Playing,53.95
2004,Shooter,46.95
2004,Simulation,10.85
2004,Sports,63.68
2004,Strategy,7.19
2005,Action,85.69
2005,Adventure,8.53
2005,Fighting,19.72
2005,Misc,61.24
2005,Platform,23.56
2005,Puzzle,20.45
2005,Racing,56.42
2005,Role-Playing,28.55
2005,Shooter,41.6
2005,Simulation,49.27
2005,Sports,59.54
2005,Strategy,5.37
2006,Action,66.58
2006,Adventure,11.47
2006,Fighting,22.55
2006,Misc,67.35
2006,Platform,49.800000000000004
2006,Puzzle,10.9
2006,Racing,34.089999999999996
2006,Role-Playing,57.73
2006,Shooter,38.37
2006,Simulation,21.77
2006,Sports,136.16
2006,Strategy,4.2700000000000005
2007,Action,106.5
2007,Adventure,24.47
2007,Fighting,17.61
2007,Misc,92.27
2007,Platform,35.589999999999996
2007,Puzzle,24.0
2007,Racing,39.17
2007,Role-Playing,43.89
2007,Shooter,71.04
2007,Simulation,48.97
2007,Sports,98.2
2007,Strategy,9.42
2008,Action,136.39
2008,Adventure,25.02
2008,Fighting,35.38
2008,Misc,87.03
2008,Platform,35.7
2008,Puzzle,15.59
2008,Racing,70.66
2008,Role-Playing,59.83
2008,Shooter,59.51
2008,Simulation,46.76
2008,Sports,95.34
2008,Strategy,11.69
2009,Action,139.36
2009,Adventure,20.68
2009,Fighting,32.15
2009,Misc,76.94
2009,Platform,41.09
2009,Puzzle,20.31
2009,Racing,34.19
2009,Role-Playing,47.9
2009,Shooter,69.89
2009,Simulation,33.71
2009,Sports,138.52
2009,Strategy,12.56
2010,Action,117.64
2010,Adventure,16.57
2010,Fighting,14.89
2010,Misc,96.86
2010,Platform,31.900000000000002
2010,Puzzle,11.18
2010,Racing,34.93
2010,Role-Playing,70.52
2010,Shooter,77.41
2010,Simulation,22.15
2010,Sports,92.53
2010,Strategy,13.870000000000001
2011,Action,118.96
2011,Adventure,15.98
2011,Fighting,22.68
2011,Misc,56.08
2011,Platform,28.11
2011,Puzzle,5.11
2011,Racing,35.01
2011,Role-Playing,53.37
2011,Shooter,99.36
2011,Simulation,15.28
2011,Sports,56.99
2011,Strategy,9.06
2012,Action,122.04
2012,Adventure,5.99
2012,Fighting,9.51
2012,Misc,22.92
2012,Platform,18.55
2012,Puzzle,1.76
2012,Racing,14.46
2012,Role-Playing,47.81
2012,Shooter,72.86
2012,Simulation,13.379999999999999
2012,Sports,30.93
2012,Strategy,3.33
2013,Action,125.22
2013,Adventure,6.61
2013,Fighting,7.21
2013,Misc,25.65
2013,Platform,25.12
2013,Puzzle,0.99
2013,Racing,13.040000000000001
2013,Role-Playing,44.92
2013,Shooter,62.8
2013,Simulation,8.67
2013,Sports,41.55
2013,Strategy,6.33
2014,Action,99.02
2014,Adventure,6.0600000000000005
2014,Fighting,16.15
2014,Misc,23.68
2014,Platform,8.89
2014,Puzzle,1.5
2014,Racing,16.69
2014,Role-Playing,45.86
2014,Shooter,66.0
2014,Simulation,5.55
2014,Sports,46.66
2014,Strategy,0.99
2015,Action,70.7
2015,Adventure,8.03
2015,Fighting,7.78
2015,Misc,11.69
2015,Platform,6.05
2015,Puzzle,0.7000000000000001
2015,Racing,7.92
2015,Role-Playing,36.44
2015,Shooter,66.15
2015,Simulation,5.62
2015,Sports,41.54
2015,Strategy,1.82
2016,Action,19.91
2016,Adventure,1.81
2016,Fighting,3.8600000000000003
2016,Misc,1.17
2016,Platform,2.07
2016,Racing,1.6400000000000001
2016,Role-Playing,6.76
2016,Shooter,18.22
2016,Simulation,0.39
2016,Sports,14.6
2016,Strategy,0.5
2017,Action,0.01
2017,Role-Playing,0.04
2020,Simulation,0.29
